comercio,ok,entidades,error
#1915ef0b,True,12,
#ab62c324,True,6,
#1074b0d2,True,10,
#76db47f5,True,6,
#41bf5b18,True,8,
#802df3ce,True,6,
#bac04182,True,9,
#7426056a,True,9,
#fc75bb90,True,8,
#8a6bbd9c,True,4,
#ddc769bd,True,6,
#93829857,True,8,
#d0ba06d5,True,7,
#4481b70e,True,8,
#1c775267,True,6,
#51d2b8a2,True,7,
#9ac34202,True,7,
#4c1f9ce4,True,8,
#4d6fe71d,True,7,
#32865cf0,True,8,
#10997530,True,6,
#8aabd77f,True,5,
#fa301ad5,True,6,
#5eaa4662,True,6,
#eeddcc1c,False,,"Attempt to read property ""sort"" on null"
#c136d08e,True,7,
#39fb0d75,True,7,
#76490eb6,True,5,
#dffb4eee,True,6,
#7ca450f6,True,7,
#df46d415,True,7,
#e6062af9,True,5,
#5434807f,True,7,
#8fe7a8f9,True,6,
#c2206275,True,6,
#e7dbf3fa,True,6,
#4e1670b1,True,6,
#517ea2b3,True,6,
#a1a55fab,True,5,
#cd15632c,True,6,
#25c4583f,True,4,
#9826ce37,True,6,
#cbb9983a,True,5,
#e5c3c9df,True,5,
#8480f642,True,6,
#8ea464f1,True,5,
#9751dd4a,True,5,
#4e1af17b,True,5,
#53989710,True,6,
#1dad9c2c,True,5,
#965f90b8,True,6,
#862c703a,True,5,
#23fd5007,True,6,
#5ffcf2e0,True,6,
#d590a12f,True,6,
#5cb92b54,True,6,
#16dd3574,False,0,
#d2d15a42,True,5,
#ab42723d,True,5,
#a536a011,True,5,
#b3da801b,True,4,
#f0ef10d2,True,4,
#f1779a8c,True,5,
#23a25b21,True,5,
#811922aa,True,5,
#1941e23b,True,4,
#32486ec8,True,3,
#27c7305b,True,4,
#9c64d1ac,True,3,
#f088cf2c,True,5,
#8f95a418,True,4,
#cb6a9f0a,True,3,
#38a9f906,True,5,
#c659fb28,True,4,
#4de676f5,True,4,
#4cdebb82,True,4,
#9df88687,True,4,
#13386314,True,5,
#029c270c,True,4,
#9b47c75b,True,4,
#dc835830,True,5,
#10937c51,True,4,
#fb651d65,True,4,
#18d4cd08,False,,
#01a0d6a3,True,4,
#0b3fef6a,True,4,
#2b1f54f2,True,4,
#697738a9,True,4,
#0510a2dd,True,4,
#80059314,True,3,
#59136100,True,3,
#a169a13a,True,3,
#6feac1ea,True,3,
#ac48a2c1,True,4,
#b5400e64,True,4,
#cd3e5099,True,4,
#c798a489,True,3,
#b921e6e9,True,4,
#8ae03fc0,True,3,
#ed6bfe62,True,4,
#c5990037,True,3,
#d7a7968e,True,4,
#a6878f00,True,3,
#ffb2220a,True,4,
#89bd4f17,True,4,
#169eb319,True,4,
#7c7372ac,True,3,
#5913abd9,True,4,
#330c1f0d,True,3,
#4c65764c,True,3,
#ad19a7f2,True,3,
#1cd601b1,True,4,
#ada5c7b2,True,4,
#321b9185,True,4,
#1c5c5ffb,True,4,
#77346b78,True,4,
#2e4fdf84,True,3,
#aa59bbf7,True,4,
#5ab44efd,True,4,
#e8cb1783,True,3,
#9c052d48,True,4,
#ca906c4b,True,4,
#0cbc35c1,True,4,
#ad6ba73d,True,3,
#c811a2c2,True,3,
#5b6e3fb7,True,3,
#7c6d7e57,True,3,
#776db023,True,3,
#8399f6f4,True,2,
#5c622e55,True,3,
#e54dd352,True,3,
#e1a1a899,True,3,
#114a2874,True,3,
#874ad162,True,3,
#04038145,True,3,
#66f06098,True,3,
#3de98b62,True,3,
#494baa14,True,3,
#7bbaa127,True,3,
#fbaf73a6,True,2,
#54f30c7e,True,3,
#a358af32,True,3,
#15cc508b,True,3,
#7af0dd0c,True,2,
#1e4d1752,True,2,
#d08a4b19,True,2,
#03ed473d,True,2,
#416dd8ff,True,2,
#8abccaed,True,2,
#02e54207,True,2,
#5c10211b,True,3,
#1dbfcd94,True,2,
#1f514ffb,True,2,
#60ad3ad6,True,2,
#840b9a56,True,3,
#7056e682,True,3,
#1c11479b,True,3,
#1491a36a,True,3,
#ad0b0c95,True,2,
#83857844,True,3,
#d2ad1383,True,3,
#5bcd2477,True,2,
#6bf2c735,True,3,
#a5cfaf4a,True,3,
#70fb301b,True,2,
#75b1025e,True,2,
#e5fe819f,True,2,
#b3e78e99,True,2,
#ba77f6a0,True,2,
#ceb42243,True,2,
#daa2aab0,True,2,
#b6fd9c4f,True,2,
#ca7f5865,True,1,
#796cab1b,True,1,
#9c195699,True,1,
#fb5cca67,True,1,
#2428c8d7,True,2,
#c54956bb,True,2,
#94c2cc65,True,2,
#269cb9d5,True,2,
#aef600d6,True,2,
