# fase 1 · Go — viejo nuevo (overrides por declaración: ruta:línea:col nuevo, posiciones de ANTES del rename)
Abiertos OpenItems
EsAmbiente IsEnvironment
FuentesDe SourcesOf
GuardarSnapshotRamas SaveBranchSnapshot
LeerSnapshotRamas ReadBranchSnapshot
MedirRamas MeasureBranches
TodasLasRamas AllBranches
ajustar fit
alcanza reaches
ambienteDe environmentOf
atribuir attribute
bitacora worklog
bitacoraDe worklogOf
buscarTarea findTask
clavesDe keysOf
comillas quoted
comoLista asList
comoVisible asVisible
conSaltoFinal withTrailingNewline
contiene contains
correr runCommand
corridasDe runsOf
cuerpoAntes bodyBefore
cuerpoImportado importedBody
desescYAML unescapeYAML
diasSinCobertura daysWithoutCoverage
dirDatos dataDir
documentoJSON documentJSON
entrega delivery
enumerar enumerate
esDespliegue isDeploy
esRamaBase isBaseBranch
esSoloAltaDeContenedor isOnlyContainerCreation
escYAML escapeYAML
escribirAtomico writeAtomic
etapaValida validStage
etiquetaHora hourLabel
fichaDesdeCanon briefFromCanon
fichasCanon canonBriefs
hace ago
hoyA todayAt
imprimir printReport
imprimirFallas printFailures
imprimirFila printRow
indexarPRs indexPRs
leerJSONEstricto readJSONStrict
leerTarea readTask
lista list
listaYAML yamlList
loQueViaja payload
medirTarea measureTask
mesDe monthOf
nivel level
parecido similar
partirCuerpo splitBody
patronesDe patternsOf
pendientesAbiertos openPendingItems
porQueFallo failureReason
porTipo byType
prDeRama prForBranch
preguntasVencidas overdueQuestions
problemaLocal localProblem
raizDeDatos dataRoot
ramasDelDia branchesOfDay
ramasQueMatchean matchingBranches
repoDePrueba testRepo
requiereRamas requiresBranches
resumenTick tickSummary
retomar resume
retomaAntes resumeBefore
seccionRetoma resumeSection
separarCuerpo separateBody
sinAvance noProgress
slugDe slugOf
soloFecha dateOnly
soloMetadatos metadataOnly
sugerencias suggestions
titulosDeSecciones sectionTitles
tocadasPorGit touchedByGit
tramosDesde slotsSince
trozos chunks
ultimosToques lastTouches
unicos unique
valor value
verAnatomia showAnatomy
verBitacora showWorklog
verGuard showGuard
verLint showLint
verSprint showSprint
verUna showOne
TestAggregateDeduplicaEntreTicks TestAggregateDedupesAcrossTicks
TestAggregateNoLeCreeLaCoberturaAUnaSiembra TestAggregateDoesNotTrustSeededCoverage
TestAggregateRecortaALaVentana TestAggregateClipsToWindow
TestAggregateSeparaSinRegistroDeSinCambios TestAggregateSeparatesNoRecordFromNoChanges
TestAggregateSlotsPorHora TestAggregateSlotsPerHour
TestAlcanzaReconoceElSquashPorElCommitDelPR TestReachesRecognizesSquashByPRCommit
TestAmbienteSaleDelComando_NoDeLaProsa TestEnvironmentComesFromCommand_NotFromProse
TestAnotacionSQLNoEntregaMarkdownDentroDeLaTarjeta TestSQLAnnotationKeepsMarkdownOutOfCard
TestAnotaciones TestAnnotations
TestAnotacionesSinNada TestAnnotationsEmpty
TestAvisosExplicaDondeConsolidarUnaLocalSuelta TestWarningsExplainWhereToConsolidateLooseLocal
TestCanonReferencesEntregaMetadatosSinCopiarContenido TestCanonReferencesDeliverMetadataWithoutCopyingContent
TestCanonReferencesRequiereIDs TestCanonReferencesRequireIDs
TestCanonUsesSoloReconoceEvidenciaExplicita TestCanonUsesOnlyRecognizesExplicitEvidence
TestCargarRenumeraIdsRepetidos TestLoadRenumbersDuplicateIDs
TestConfigEntregaURLsDeHerramientas TestConfigDeliversToolURLs
TestDocumentoJSONDerivaEstadoYTrabajoSinDuplicarElMarkdown TestDocumentJSONDerivesStateAndWorkWithoutDuplicatingMarkdown
TestElAltaDeUnContenedorNoFingeTrabajoEnLaHerramienta TestContainerCreationDoesNotFakeToolWork
TestEsAmbienteSeparaLasDosCosas TestIsEnvironmentSeparatesBothCases
TestFichaDesdeCanonProyectaLaRespuestaDeLaAPI TestBriefFromCanonProjectsAPIResponse
TestFichaSaleDeLaAPI TestBriefComesFromAPI
TestFichasCanonRespetaElTopeYNoCallaErrores TestCanonBriefsRespectLimitAndSurfaceErrors
TestFuentesDeCasosReales TestSourcesOfRealCases
TestFuentesDeNoInventa TestSourcesOfDoesNotInvent
TestGuardFrenaLasHerramientasPropiasYNoElVocabularioDelNegocio TestGuardBlocksOwnToolsButNotBusinessVocabulary
TestGuardSigueFrenandoLoDeAntes TestGuardStillBlocksPreviousPatterns
TestIndexarPRsGanaElMasNuevoYBuscaExacto TestIndexPRsNewestWinsAndMatchesExactly
TestLeerFrontmatterArchivadoEsFechaYRamasVanPorComa TestReadFrontmatterArchivedIsDateAndBranchesSplitByComma
TestLoadParseaExtra TestLoadParsesExtra
TestPendientes TestPendingItems
TestPendientesSoloDelCuerpoPrivado TestPendingItemsOnlyFromPrivateBody
TestProbeIgnoraCommitsAjenos TestProbeIgnoresForeignCommits
TestProbeNoSeEnsuciaConUnRepoAnidado TestProbeIsNotDirtiedByNestedRepo
TestProbeVeArchivoSucioYRespetaLaVentana TestProbeSeesDirtyFileAndRespectsWindow
TestProblemaLocalAceptaSoloContenedoresCanonicos TestLocalProblemAcceptsOnlyCanonicalContainers
TestReferencesMarcaLaQueCanonNoEncuentra TestReferencesFlagWhatCanonCannotFind
TestReferencesNormalizaTemaYConservaUnaCitaExacta TestReferencesNormalizeTopicAndKeepExactCitation
TestRequiereRamasSoloParaTrabajoDeProducto TestRequiresBranchesOnlyForProductWork
