# fase 1b · Python de tablero/tools — viejo nuevo
# citas.py
ref_hoy today_ref
repo_de repo_of
sha_en sha_at
fecha date
renombres renames
contenido content
escrita_en written_at
en_ref in_ref
ubicar locate
ancla anchor
hoy today
esperado expected
por_ancla by_anchor
fin end
indice index
cita citation
existen existing
por_rel by_rel
por_base by_base
evaluar evaluate
base_cita citation_base
sello_de stamp_of
etiqueta label
revisar review
documentos documents
informe report
baldes buckets
sin_sello unstamped
ver_ok show_ok
RAIZ ROOT
CERCA NEAR
LEVE MINOR
ANCLA_MIN ANCHOR_MIN
CORTA SHORT
origen origin
directo direct
movio moved
cola tail
grado degree
veredictos verdicts
orden order
visto seen
fechas dates
clave key
nota note
nombre name
titulo title
cuantas how_many
cortas short_ones
validadas validated
porc pct
por_doc by_doc
detalle detail
lineas lines
linea line
donde where
etiq tag
en_alias in_alias
actual current
# ramas.py
existe_ref ref_exists
diferencia difference
izquierda left_ref
derecha right_ref
rama_base base_branch
estado_rama branch_state
rama branch
medir_repo measure_repo
construir_snapshot build_snapshot
generado generated
candidatos candidates
cambios changes
formato log_format
ramas branches
activas active
salida output
resumen summary
simbolica symbolic
partes parts
remoto_existe remote_exists
fusionada merged
ruta path
remoto remote
autor author
asunto subject
atras_main behind_main
adelante_main ahead_main
atras_remoto behind_remote
adelante_remoto ahead_remote
# test_ramas.py
RamasTest BranchesTest
test_mide_rama_activa_y_cambios_del_checkout test_measures_active_branch_and_checkout_changes
test_reconoce_una_rama_fusionada test_recognizes_merged_branch
medido measured
# trampas.py
revisar_indice review_index
revisar_citas review_citations
ANCLA ANCHOR
INDICE INDEX
CITA CITATION
fallas failures
anclas anchors
rotas broken
citados cited
faltan missing
muerto dead
