# phase4b-ui.tsv — claves de objeto INTERNAS del front, español → inglés (fase 4b, 2026-09-23).
# Las del contrato con el server están en `phase4b-json.tsv`; éstas nacen y mueren en la UI.
# Quedan en español, a propósito: las claves de un `:class` (son clases CSS), las que son un VALOR de dato
# usado como clave (las acciones de Jev —`decidir`, `ejecutar`— y los tipos de anotación —`medicion`—),
# el `del` del pulso (abreviatura inglesa, persistida) y `separador`, que es de `workbench.js`, compartido
# con harness y trazador.
_arrastres _carryOvers
_esfuerzo _effort
_esfuerzoId _effortId
atras behind
conComo withHow
consumido consumed
dias days
exceso excess
hechos done
nombre name
porcentaje percent
porSprint bySprint
pts points
sinComo withoutHow
veces times
